RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            3     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.877D-02 -4.041D+00
    1    3     1     0  ---    1  1.9D+00  2.1D-01  2.753D-02 -4.051D+00
    2    4     0     0  con    0  1.0D+00  6.6D-02  2.351D-02 -4.054D+00
    3    5     0     0  con    0  1.0D+00  3.8D-01  7.317D-03 -4.061D+00
    4    6     0     0  con    0  1.0D+00  1.9D-01  4.014D-03 -4.062D+00
    5    7     0     0  con    0  1.0D+00  1.7D-01  3.388D-03 -4.062D+00
    6    8     0     0  con    0  1.0D+00  8.4D-02  2.777D-03 -4.062D+00
    7    9     0     0  con    0  1.0D+00  3.3D-02  1.879D-03 -4.062D+00
    8   11     0     0  con    1  2.6D-01  6.3D-02  7.928D-04 -4.062D+00
    9   12     0     0  con    0  1.0D+00  1.9D-02  2.754D-04 -4.062D+00
   10   18     0     0  con    5  1.1D+00  1.2D-02  5.357D-04 -4.062D+00
   11   21     0     0  con    2  5.7D-02  5.9D-04  3.122D-04 -4.062D+00
   12   22     0     0  con    0  1.0D+00  7.8D-04  3.760D-04 -4.062D+00
   13   24     0     0  con    1  3.4D-01  2.0D-03  6.839D-05 -4.062D+00
   14   25     0     0  con    0  1.0D+00  4.0D-04  1.071D-04 -4.062D+00
   15   27     0     0  con    1  5.2D-02  9.2D-04  2.139D-04 -4.062D+00
   16   32     0     0  con    4  5.8D-01  3.6D-04  2.682D-04 -4.062D+00
   17   38     0     0  con    5  2.8D-03  3.6D-05  2.539D-04 -4.062D+00
   18   45     0     0  con    6  5.7D+00  3.6D-03  2.839D-04 -4.062D+00
   19   48     0     0  con    2  4.9D-01  1.3D-03  2.553D-04 -4.062D+00
   20   50     0     0  con    1  5.0D+00  2.8D-03  1.721D-04 -4.062D+00
   21   52     0     0  con    1  2.4D-01  1.0D-03  2.562D-04 -4.062D+00
   22   55     0     0  con    2  1.1D-01  4.7D-05  4.725D-05 -4.062D+00
   23   60     0     0  con    4  1.0D+00  5.0D-05  3.309D-04 -4.062D+00
   24   63     0     0  con    2  7.3D-01  1.9D-05  6.288D-05 -4.062D+00
   25   64     0     0  con    0  1.0D+00  2.3D-05  3.085D-04 -4.062D+00
   26   69     0     0  con    4  1.1D+00  5.0D-05  1.714D-04 -4.062D+00
   27   72     0     0  con    2  2.4D+00  1.5D-05  1.181D-04 -4.062D+00
   28   80     0     0  con    7  1.2D-03  1.6D-08  1.998D-04 -4.062D+00
   29   88     0     0  con    7  2.3D-03  1.4D-07  1.804D-04 -4.062D+00
   30  102     0     0  con   13  6.7D-10  9.7D-15  1.803D-04 -4.062D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Warning:  more than 10 function and gradient
   evaluations in the last line search.  Termination
   may possibly be caused by a bad search direction.

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            3     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.376D-02 -4.108D+00
    1    3     1     0  ---    1  1.8D+00  9.9D-02  9.502D-03 -4.111D+00
    2    4     0     0  con    0  1.0D+00  2.2D-02  8.651D-03 -4.111D+00
    3    5     0     0  con    0  1.0D+00  1.6D-01  4.743D-03 -4.113D+00
    4    6     0     0  con    0  1.0D+00  1.3D-01  1.791D-03 -4.113D+00
    5    8     0     0  con    1  3.7D-01  1.4D-02  1.301D-03 -4.113D+00
    6    9     0     0  con    0  1.0D+00  2.2D-02  1.131D-03 -4.113D+00
    7   10     0     0  con    0  1.0D+00  6.4D-03  5.861D-04 -4.113D+00
    8   23     0     0  con   12  6.9D-08  1.5D-10  1.078D-03 -4.113D+00
    9   44     1     0  ---    0  1.0D+00  1.2D-03  4.488D-04 -4.113D+00
   10   47     0     0  con    2  2.1D+01  1.7D-02  4.921D-04 -4.113D+00
   11   52     0     0  con    4  1.4D-02  1.9D-03  3.468D-04 -4.113D+00
   12   53     0     0  con    0  1.0D+00  1.4D-03  3.197D-04 -4.113D+00
   13   58     0     0  con    4  1.0D+00  9.2D-04  2.909D-04 -4.113D+00
   14   59     0     0  con    0  1.0D+00  8.6D-04  1.124D-03 -4.113D+00
   15   75     0     0  con   15  2.9D-10  1.8D-11  3.294D-04 -4.113D+00
   16   76     0     0  con    0  1.0D+00  7.0D-05  3.343D-04 -4.113D+00
   17   79     0     0  con    2  2.0D+00  3.9D-04  1.220D-04 -4.113D+00
   18   80     0     0  con    0  1.0D+00  1.6D-04  5.622D-04 -4.113D+00
